Setpoint,Actual Speed
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
100.000,0.000
100.000,0.000
100.000,0.000
100.000,0.000
100.000,0.000
100.000,4.290
100.000,0.000
100.000,4.290
100.000,8.570
100.000,12.860
100.000,21.430
100.000,30.000
100.000,34.290
100.000,42.860
100.000,47.140
100.000,51.430
100.000,60.000
100.000,64.290
100.000,68.570
100.000,72.860
100.000,77.140
100.000,77.140
100.000,85.710
100.000,85.710
100.000,85.710
100.000,90.000
100.000,90.000
100.000,94.290
100.000,90.000
100.000,98.570
100.000,94.290
100.000,98.570
100.000,94.290
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
100.000,98.570
100.000,98.570
100.000,102.860
100.000,98.570
